"County","Population","ChangePoint_Ord","ChangePointRange_Ord","Beta0","Beta0.","Beta1death_Ord","Beta1.death_Ord","Beta2vax_Ord","Beta2.vax_Ord","Beta1deathRange_Ord","Beta2vaxRange_Ord","Beta1.deathRange_Ord","Beta2.vaxRange_Ord","fips"
"Albany County",305506,36.63,34,1.25087655448745,6.28730271023719,0.447683385421119,0.169471628038808,-1726.92889370734,-1.88973545394089,NA,NA,NA,NA,36001
"Allegany County",46091,37.861,30,0.0368865941529533,4.92504322229406,0.5382935929097,0.32016769210104,1648.91851293349,-3.70156412919009,NA,NA,NA,NA,36003
"Bronx County",1418207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36005
"Broome County",190488,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36007
"Cattaraugus County",76117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36009
"Cayuga County",76576,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36011
"Chautauqua County",126903,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36013
"Chemung County",83456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36015
"Chenango County",47207,37.775,20,-0.0764461177038096,6.10061402223452,-0.0395883846588186,0.36121165973289,2153.06530051773,-0.0991704029380599,NA,NA,NA,NA,36017
"Clinton County",80485,37.337,5,-1.81439107635612,9.51883503993128,-0.351665388225697,0.907075986917493,4666.65364301619,-0.916727829747944,NA,NA,NA,NA,36019
"Columbia County",59461,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36021
"Cortland County",47581,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36023
"Delaware County",44135,37.783,3,3.81580342183177,12.6644843879835,1.88499301224819,0.280604755042777,2800.099368447,0.130001061259171,NA,NA,NA,NA,36025
"Dutchess County",294218,41.24,10,4.32733997104263,10.5732130825474,1.22116203922141,0.262337386355786,-4033.34095570887,-2.15666453600841,NA,NA,NA,NA,36027
"Erie County",918702,40.685,4,0.536638810800147,8.11798075254663,0.616373145187804,0.76965538886412,-3711.96136513807,-5.86738698569364,NA,NA,NA,NA,36029
"Essex County",36885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36031
"Franklin County",50022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36033
"Fulton County",53383,43.002,1,1.48795560061153,11.0336219637413,0.23233654565395,0.273747481486977,9691.0449421339,-1.23371218296761,NA,NA,NA,NA,36035
"Genesee County",57280,40.024,8,1.06080350831727,8.54582654273691,0.183057187242686,0.694374969095875,348.994076901778,-3.25735771324072,NA,NA,NA,NA,36037
"Greene County",47188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36039
"Hamilton County",4416,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36041
"Herkimer County",61319,34.602,28,2.16475164867645,7.68982758111445,0.744128908737087,0.625774817823722,1090.65644820335,2.34917611196444,NA,NA,NA,NA,36043
"Jefferson County",109834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36045
"Kings County",2559903,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36047
"Lewis County",26296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36049
