"","country","state","lat","long","id","key","population","week","confirmed","death","time","time_sq","prev_week_total","new_cases","incidence","log_incidence","prev_week_actual","log_death","prev_log_death","new_death","log_new_death","prev_log_new_death","new_cases_per_100k","category","county","total_first_dose","total_second_dose","total_booster_dose","first_dose_prevalence","second_dose_prevalence","booster_dose_prevalence","Recip_County","Date","Administered_Dose1_Pop_Pct.x","new_vax_this_week"
"1","US","New York",42.601,-73.977,"ID1903","Albany, New York, US",305506,"2020-01-20",0,0,0.00819672131147541,6.71862402579952e-05,0,0,0,-2.30258509299405,0,-2.30258509299405,-2.30258509299405,0,-2.30258509299405,-2.30258509299405,0,1,"Albany",0,0,0,0,0,0,"Albany County","2020-01-20",0,0
"63","US","New York",42.601,-73.977,"ID1903","Albany, New York, US",305506,"2020-01-27",0,0,0.0163934426229508,0.000268744961031981,0,0,0,-2.30258509299405,0,-2.30258509299405,-2.30258509299405,0,-2.30258509299405,-2.30258509299405,0,1,"Albany",0,0,0,0,0,0,"Albany County","2020-01-27",0,0
"125","US","New York",42.601,-73.977,"ID1903","Albany, New York, US",305506,"2020-02-03",0,0,0.0245901639344262,0.000604676162321956,0,0,0,-2.30258509299405,0,-2.30258509299405,-2.30258509299405,0,-2.30258509299405,-2.30258509299405,0,1,"Albany",0,0,0,0,0,0,"Albany County","2020-02-03",0,0
"187","US","New York",42.601,-73.977,"ID1903","Albany, New York, US",305506,"2020-02-10",0,0,0.0327868852459016,0.00107497984412792,0,0,0,-2.30258509299405,0,-2.30258509299405,-2.30258509299405,0,-2.30258509299405,-2.30258509299405,0,1,"Albany",0,0,0,0,0,0,"Albany County","2020-02-10",0,0
"249","US","New York",42.601,-73.977,"ID1903","Albany, New York, US",305506,"2020-02-17",0,0,0.040983606557377,0.00167965600644988,0,0,0,-2.30258509299405,0,-2.30258509299405,-2.30258509299405,0,-2.30258509299405,-2.30258509299405,0,1,"Albany",0,0,0,0,0,0,"Albany County","2020-02-17",0,0
"311","US","New York",42.601,-73.977,"ID1903","Albany, New York, US",305506,"2020-02-24",0,0,0.0491803278688525,0.00241870464928783,0,0,0,-2.30258509299405,0,-2.30258509299405,-2.30258509299405,0,-2.30258509299405,-2.30258509299405,0,1,"Albany",0,0,0,0,0,0,"Albany County","2020-02-24",0,0
"373","US","New York",42.601,-73.977,"ID1903","Albany, New York, US",305506,"2020-03-02",0,0,0.0573770491803279,0.00329212577264176,0,0,0,-2.30258509299405,0,-2.30258509299405,-2.30258509299405,0,-2.30258509299405,-2.30258509299405,0,1,"Albany",0,0,0,0,0,0,"Albany County","2020-03-02",0,0
"435","US","New York",42.601,-73.977,"ID1903","Albany, New York, US",305506,"2020-03-09",7,0,0.0655737704918033,0.00429991937651169,0,7,2.29128069497817e-05,-2.30235599117038,0,-2.30258509299405,-2.30258509299405,0,-2.30258509299405,-2.30258509299405,2.29128069497817,1,"Albany",0,0,0,0,0,0,"Albany County","2020-03-09",0,0
"497","US","New York",42.601,-73.977,"ID1903","Albany, New York, US",305506,"2020-03-16",123,0,0.0737704918032787,0.00544208546089761,7,116,0.000379697943739239,-2.2987953038878,7,-2.30258509299405,-2.30258509299405,0,-2.30258509299405,-2.30258509299405,37.9697943739239,2,"Albany",0,0,0,0,0,0,"Albany County","2020-03-16",0,0
"559","US","New York",42.601,-73.977,"ID1903","Albany, New York, US",305506,"2020-03-23",205,1,0.0819672131147541,0.00671862402579952,123,82,0.000268407167126014,-2.29990461701053,116,0.0953101798043249,-2.30258509299405,1,0.0953101798043249,-2.30258509299405,26.8407167126014,2,"Albany",0,0,0,0,0,0,"Albany County","2020-03-23",0,0
