"Date","FIPS","MMWR_week","Recip_County","Recip_State","Completeness_pct","Administered_Dose1_Recip","Administered_Dose1_Pop_Pct","Administered_Dose1_Recip_5Plus","Administered_Dose1_Recip_5PlusPop_Pct","Administered_Dose1_Recip_12Plus","Administered_Dose1_Recip_12PlusPop_Pct","Administered_Dose1_Recip_18Plus","Administered_Dose1_Recip_18PlusPop_Pct","Administered_Dose1_Recip_65Plus","Administered_Dose1_Recip_65PlusPop_Pct","Series_Complete_Yes","Series_Complete_Pop_Pct","Series_Complete_5Plus","Series_Complete_5PlusPop_Pct","Series_Complete_12Plus","Series_Complete_12PlusPop_Pct","Series_Complete_18Plus","Series_Complete_18PlusPop_Pct","Series_Complete_65Plus","Series_Complete_65PlusPop_Pct","Booster_Doses","Booster_Doses_Vax_Pct","Booster_Doses_12Plus","Booster_Doses_12Plus_Vax_Pct","Booster_Doses_18Plus","Booster_Doses_18Plus_Vax_Pct","Booster_Doses_50Plus","Booster_Doses_50Plus_Vax_Pct","Booster_Doses_65Plus","Booster_Doses_65Plus_Vax_Pct","SVI_CTGY","Series_Complete_Pop_Pct_SVI","Series_Complete_5PlusPop_Pct_SVI","Series_Complete_12PlusPop_Pct_SVI","Series_Complete_18PlusPop_Pct_SVI","Series_Complete_65PlusPop_Pct_SVI","Metro_status","Series_Complete_Pop_Pct_UR_Equity","Series_Complete_5PlusPop_Pct_UR_Equity","Series_Complete_12PlusPop_Pct_UR_Equity","Series_Complete_18PlusPop_Pct_UR_Equity","Series_Complete_65PlusPop_Pct_UR_Equity","Census2019","Census2019_5PlusPop","Census2019_12PlusPop","Census2019_18PlusPop","Census2019_65PlusPop","weekday","country","state","lat","long","id","key","population","confirmed","death","time","time_sq","prev_week_total","new_cases","incidence","log_incidence","prev_week_actual","log_death","prev_log_death","new_death","log_new_death","prev_log_new_death","new_cases_per_100k","category","State","Country"
2021-11-22,"36055",47,"Monroe County","NY",97.6,528278,71.2,NA,NA,516843,80.5,481837,81.8,127506,96.2,488772,65.9,NA,NA,488746,76.1,456518,77.5,120304,90.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C",12,NA,12,12,12,"Metro",4,NA,4,4,4,741770,NA,641895,588835,NA,2,"US","New York",43.146,-77.693,"ID1930","Monroe, New York, US",741770,96417,1244,1,1,94310,2107,0.00284050312091349,-2.27457600432771,3044,7.12616765592045,7.11809723845914,10,2.31253542384721,1.96009478404727,284.050312091349,4,"New York","US"
2021-11-22,"36089",47,"St. Lawrence County","NY",97.6,64488,59.9,NA,NA,63263,67.4,58904,68.4,17044,88,60101,55.8,NA,NA,60098,64.1,55973,65,16244,83.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C",12,NA,12,12,12,"Non-metro",8,NA,8,8,8,107740,NA,93806,86105,NA,2,"US","New York",44.498,-75.066,"ID1953","St. Lawrence, New York, US",107740,12634,143,1,1,12318,316,0.00293298682012252,-2.27367711589011,438,4.9635436865624,4.95653103510305,1,0.0953101798043249,0.0953101798043249,293.298682012252,4,"New York","US"
2021-11-22,"36071",47,"Orange County","NY",97.6,257663,66.9,NA,NA,255308,79.4,236488,82.4,52816,95.8,231092,60,NA,NA,231081,71.9,213979,74.6,47161,85.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C",12,NA,12,12,12,"Metro",4,NA,4,4,4,384940,NA,321416,286940,NA,2,"US","New York",41.403,-74.302,"ID1938","Orange, New York, US",384940,61633,944,1,1,60861,772,0.00200550735179508,-2.28272847351042,988,6.85023209273847,6.8417223083777,8,2.09186406167839,2.31253542384721,200.550735179509,4,"New York","US"
2021-11-22,"36001",47,"Albany County","NY",97.6,229011,75,NA,NA,224078,83.4,209465,83.9,53684,99.9,207571,67.9,NA,NA,207532,77.2,194089,77.7,48643,91.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B",8,NA,8,8,8,"Metro",4,NA,4,4,4,305506,NA,268701,249741,NA,2,"US","New York",42.601,-73.977,"ID1903","Albany, New York, US",305506,34056,409,1,1,33536,520,0.00170209423055521,-2.28570738390213,722,6.01395962493535,6.00659943469225,3,1.1314021114911,1.41098697371026,170.209423055521,4,"New York","US"
2021-11-22,"36067",47,"Onondaga County","NY",97.6,335163,72.8,NA,NA,328524,82.8,306138,84.2,78260,96.9,309942,67.3,NA,NA,309898,78.1,288913,79.5,73507,91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C",12,NA,12,12,12,"Metro",4,NA,4,4,4,460528,NA,396790,363436,NA,2,"US","New York",43.005,-76.2,"ID1936","Onondaga, New York, US",460528,58795,808,1,1,57751,1044,0.00226696313796338,-2.2801685991591,1658,6.6946858132394,6.69096649330594,3,1.1314021114911,2.2082744135228,226.696313796338,4,"New York","US"
2021-11-22,"36065",47,"Oneida County","NY",97.6,141579,61.9,NA,NA,139981,71.2,131232,72.9,39844,90.9,130100,56.9,NA,NA,130094,66.2,122028,67.8,36903,84.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C",12,NA,12,12,12,"Metro",4,NA,4,4,4,228671,NA,196544,179973,NA,2,"US","New York",43.244,-75.437,"ID1935","Oneida, New York, US",228671,32768,634,1,1,32008,760,0.00332355217758264,-2.26988993099722,1055,6.45220667070599,6.44269938946034,6,1.80828877117927,2.77881927199042,332.355217758264,4,"New York","US"
2021-11-22,"36031",47,"Essex County","NY",97.6,26330,71.4,NA,NA,25840,77.8,24297,78.4,7884,88.1,24353,66,NA,NA,24353,73.4,22956,74.1,7439,83.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B",8,NA,8,8,8,"Non-metro",8,NA,8,8,8,36885,NA,33195,30977,NA,2,"US","New York",44.116,-73.773,"ID1918","Essex, New York, US",36885,2946,37,1,1,2870,76,0.00206045818083232,-2.28218991402823,103,3.61361696961339,3.61361696961339,0,-2.30258509299405,-2.30258509299405,206.045818083232,4,"New York","US"
2021-11-22,"36009",47,"Cattaraugus County","NY",97.6,43020,56.5,NA,NA,42490,64.9,39831,67,13271,88.3,38728,50.9,NA,NA,38725,59.1,36309,61,11981,79.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C",12,NA,12,12,12,"Non-metro",8,NA,8,8,8,76117,NA,65478,59481,NA,2,"US","New York",42.248,-78.679,"ID1907","Cattaraugus, New York, US",76117,9824,154,1,1,9477,347,0.00455877136513525,-2.25800596025993,516,5.03760174232607,5.00461722177069,5,1.62924053973028,2.2082744135228,455.877136513525,4,"New York","US"
2021-11-22,"36087",47,"Rockland County","NY",97.6,211842,65,NA,NA,209818,79.5,193792,83.1,50876,98.3,188104,57.7,NA,NA,188083,71.3,173563,74.4,43556,84.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C",12,NA,12,12,12,"Metro",4,NA,4,4,4,325789,NA,263943,233221,NA,2,"US","New York",41.15,-74.026,"ID1947","Rockland, New York, US",325789,55201,782,1,1,54877,324,0.000994508715763884,-2.29268913276979,452,6.66198260960757,6.66198260960757,0,-2.30258509299405,-2.30258509299405,99.4508715763884,3,"New York","US"
2021-11-22,"36079",47,"Putnam County","NY",97.6,72935,74.2,NA,NA,72084,83.1,67106,84.7,17001,95.9,65618,66.7,NA,NA,65610,75.6,61048,77.1,14955,84.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",4,NA,4,4,4,"Metro",4,NA,4,4,4,98320,NA,86735,79205,NA,2,"US","New York",41.426,-73.75,"ID1943","Putnam, New York, US",98320,13055,101,1,1,12937,118,0.00120016273393002,-2.29065491408728,125,4.61611012602643,4.61611012602643,0,-2.30258509299405,1.1314021114911,120.016273393002,4,"New York","US"
